,0,1,2,3,4,5,6,7,8,val
233, , , ,X, , ,X, ,O,0.8134373668022152
234, , , , ,X, ,X, ,O,-0.08831895458393546
235, , , , , ,X,X, ,O,2.099001574952798e-27
236, , , , , , ,X,X,O,-0.17173985945170742
237,O, , , , , ,X,X,O,0.8542803689342192
238, ,O, , , , ,X,X,O,-0.06687242849877412
239, , ,O, , , ,X,X,O,0.09360037020063192
240, , , ,O, , ,X,X,O,0.8536547624969945
241, , , , ,O, ,X,X,O,-0.2649459482010371
242, , , , , ,O,X,X,O,-0.3191818145083852
243,X,O, , , , ,X,X,O,9.56234818162717e-06
244, ,O,X, , , ,X,X,O,-0.19520987262458644
245, ,O, ,X, , ,X,X,O,-0.40048437499999995
246, ,O, , ,X, ,X,X,O,-0.8570543919433448
247, ,O, , , ,X,X,X,O,-0.4253383789062499
248,X,O, ,O, ,X,X,X,O,0.0
249, ,O,X,O, ,X,X,X,O,0.00024142387836111745
250, ,O, ,O,X,X,X,X,O,2.113836652304197e-53
251,X,O,O,O, ,X,X,X,O,0.0
252, ,O, ,O, ,X,X,X,O,0.0005604273116664512
253,X,O,O,O, ,X,X, , ,0.7047806701660155
254,X, ,O,O,O,X,X, , ,6.352844817053414e-199
255,X, ,O,O, ,X,X,O, ,0.10249671944975852
256,X, ,O,O, ,X,X, ,O,0.0
257,X,X,O,O, ,X,X, ,O,0.0
258,X, ,O,O,X,X,X, ,O,0.0
259,X, ,O,O, ,X,X,X,O,0.0
260,X,X,O,O,X,X,X,O,O,0.0
261,X,X,O,O, ,X,X,O,O,0.0
262,X, , , ,O,X, , , ,-0.21434758595348705
263, ,X, , ,O,X, , , ,-0.21394816275817766
264, , ,X, ,O,X, , , ,-0.2535045279583872
265, , , ,X,O,X, , , ,-0.7737573269974244
266, , , , ,O,X,X, , ,-0.21426595764815595
267, , , , ,O,X, ,X, ,-0.22446690765756572
268, , , , ,O,X, , ,X,-0.1935543986275075
269,X, ,O,X,O,X, , , ,-0.9292765293168661
270, ,X,O,X,O,X, , , ,-0.9445954055375554
271, , ,O,X,O,X,X, , ,-0.8573138056379062
272, , ,O,X,O,X, ,X, ,-0.8573125759074527
273,X,O,O,X,O,X, , , ,0.2375
274,X, ,O,X,O,X,O, , ,-0.9999761621685057
275,X, ,O,X,O,X, ,O, ,0.27134375
276,X, ,O,X,O,X, , ,O,0.4410078125
277,X,O,O,X,O,X, ,O,X,-0.822021484375
278,X, ,O,X,O,X, ,O,X,-0.78092041015625
279, , ,O,X,O,X, , , ,-0.8145048847251084
280,X,O, , , , , , , ,0.772324192341376
281,X, ,O, , , , , , ,0.7205437851776301
282,X, , ,O, , , , , ,0.7793716630964765
283,X, , , ,O, , , , ,-0.20362656249999997
284,X, , , , ,O, , , ,0.7682890277180184
285,X, , , , , ,O, , ,0.7143175096312302
286,X, , , , , , ,O, ,0.5695966855848704
287,X, , , , , , , ,O,0.7705915952447221
288,X, ,X, , , , , ,O,0.7439277060211584
289,X, , ,X, , , , ,O,-0.20898701907745926
290,X, , , ,X, , , ,O,-0.08789539871783823
291,X, , , , ,X, , ,O,-0.017937056579429556
292,X, , , , , , ,X,O,-0.11031477090813618
293,X,O, , , , ,X, ,O,0.9131152978598839
294,X, ,O, , , ,X, ,O,0.9118043869213541
